"Name","Week","iAll","iEO2HO"
"Human health and...",27,0.856885454578052,0.828125
"Human health and...",31,0.996569679017593,1.51486280487805
"Human health and...",26,0.941333752752438,1.0844494047619
"Human health and...",23,1,1
"Human health and...",32,0.816349943563459,0.772916666666667
"Human health and...",25,1.14313960878469,1.36239919354839
"Human health and...",34,1.34361081816042,2.18072916666667
"Human health and...",38,0.842105884714858,0.721270161290323
"Human health and...",39,0.998279561578164,0.938541666666667
"Human health and...",33,0.944304739679729,0.906994047619048
"Human health and...",37,0.993088936687552,1.10909598214286
"Human health and...",30,0.91007853049308,1.05922965116279
"Human health and...",29,0.977485494253938,1.39195478723404
"Human health and...",35,1.01512759515571,0.941789215686274
"Human health and...",24,0.854844290657439,1.490625
"Human health and...",28,0.843083757567198,1.28819444444444
"Human health and...",36,0.878330000838113,0.841700819672131
"Information and communication...",35,0.956309985600691,0.891958481862026
"Information and communication...",36,0.98317157512306,1.08899739388311
"Information and communication...",33,0.990235994275726,0.85205191503923
"Information and communication...",38,1.02320923747679,0.807510290330391
"Information and communication...",34,1.2098734110948,1.21517183299323
"Information and communication...",39,0.991551709743023,0.939376252949984
"Information and communication...",37,0.927347946106486,0.876494023904383
"Information and communication...",24,1.10524187453656,0.849194936231406
"Information and communication...",25,1.12362325282758,0.963688104723961
"Information and communication...",26,1.05826439173125,0.963562966676341
"Information and communication...",27,1.02594411531552,0.77787896034908
"Information and communication...",29,1.09757156126667,1.0716840666531
"Information and communication...",30,0.996774703263405,0.957223736632418
"Information and communication...",31,1.01422923582498,0.923400736675938
"Information and communication...",32,0.920794850265883,0.78458835465591
"Information and communication...",28,1.01572348694378,1.15142308463986
"Information and communication...",23,1,1
"Other service activities...",23,1,1
"Other service activities...",26,0.846477916079057,0.780252266456445
"Other service activities...",27,0.976214520883109,0.860320894177033
"Other service activities...",24,1.05833362580739,0.92251843448667
"Other service activities...",25,1.02475626241799,0.786503322259136
"Other service activities...",30,1.02607660244548,1.18428079242033
"Other service activities...",31,0.853790870601629,0.79328553942997
"Other service activities...",32,0.809885482917345,0.719713774597496
"Other service activities...",33,1.03183699575352,1.86393154892497
"Other service activities...",34,1.17876354108639,1.49302325581395
"Other service activities...",35,0.760553699974678,0.703443649373882
"Other service activities...",39,0.78350144092219,0.585724508050089
"Other service activities...",36,0.804004910633153,0.908796764408493
"Other service activities...",37,0.818888178209615,0.640418244095908
"Other service activities...",38,0.805011495798456,0.817318963887313
"Other service activities...",28,0.844663661666543,0.771623639854918
"Other service activities...",29,1.15291381792265,1.45398996808026
"Transportation and storage...",37,0.477575904953797,0.689102564102564
"Transportation and storage...",38,0.674504367488122,0.904934687953556
"Transportation and storage...",39,1.11499413597432,1.4874213836478
"Transportation and storage...",35,0.560205079998465,0.591375291375291
"Transportation and storage...",34,0.907389931990498,1.13319088319088
"Transportation and storage...",30,0.500639360771738,1.00608974358974
"Transportation and storage...",36,0.567551683744658,1.07859531772575
"Transportation and storage...",24,0.694276116868031,0.941213258286429
"Transportation and storage...",27,0.640263496143959,0.95414201183432
"Transportation and storage...",28,0.555104326020786,1.07193732193732
"Transportation and storage...",23,1,1
"Transportation and storage...",26,0.524108094551383,0.795118343195266
"Transportation and storage...",32,0.704610431732456,0.952214452214452
"Transportation and storage...",33,0.709572896809375,0.918803418803419
"Transportation and storage...",29,0.475322360941837,0.715493726132024
"Transportation and storage...",31,0.938488855908621,1.03956043956044
"Transportation and storage...",25,0.602829597086791,1.56444906444906
"Wholesale and retail...",28,0.889820672253762,0.905912945166761
"Wholesale and retail...",24,0.956129567417361,0.896339522546419
"Wholesale and retail...",29,0.960472667789741,0.82914979757085
"Wholesale and retail...",23,1,1
"Wholesale and retail...",36,0.788942591483035,0.687290640394089
"Wholesale and retail...",30,1.00410778951575,1.04292157718609
"Wholesale and retail...",27,0.982133664390648,0.976531514462549
"Wholesale and retail...",26,0.97154516620464,0.919673981191223
"Wholesale and retail...",34,1.01100529100529,0.943905803195963
"Wholesale and retail...",37,0.823454381210479,0.691695795937648
"Wholesale and retail...",25,1.08398183990442,0.94631724137931
"Wholesale and retail...",33,0.836432964329643,0.929892338898424
"Wholesale and retail...",39,0.755176088369071,0.608923293455313
"Wholesale and retail...",35,0.790324960976302,0.65258748403576
"Wholesale and retail...",31,0.929460040202398,1.05782045686018
"Wholesale and retail...",38,0.755688298918387,0.662994936098384
"Wholesale and retail...",32,0.722569745750278,0.841586479487529
