x,y
1969-07-03,0.00000000538937589165397
1969-08-09,0.00000001968875660297220
1969-09-16,0.00000005721455668210600
1969-10-23,0.00000013351281517429700
1969-11-29,0.00000025326902796790900
1970-01-05,0.00000039804336977984900
1970-02-11,0.00000053211883961329400
1970-03-20,0.00000062031322757808800
1970-04-26,0.00000063318891694192700
1970-06-02,0.00000055571579225276600
1970-07-09,0.00000040921370272872500
1970-08-15,0.00000025224239249853800
1970-09-21,0.00000014898426828114800
1970-10-28,0.00000013988418126740000
1970-12-04,0.00000023443933944822200
1971-01-10,0.00000040219246909161200
1971-02-16,0.00000057024085685697800
1971-03-25,0.00000066150177756173700
1971-05-01,0.00000064594912059637300
1971-06-07,0.00000054542858596555100
1971-07-14,0.00000040404285525645200
1971-08-20,0.00000027171790152809700
1971-09-26,0.00000019936682323894900
1971-11-02,0.00000022143643518215800
1971-12-09,0.00000032916767809607300
1972-01-15,0.00000046228715539513000
1972-02-21,0.00000054586594123310000
1972-03-29,0.00000055828247329843300
1972-05-05,0.00000056235644976125900
1972-06-11,0.00000065010678970786800
1972-07-18,0.00000084968380522950300
1972-08-24,0.00000109556970286479000
1972-09-30,0.00000128787764572161000
1972-11-06,0.00000136191688963074000
1972-12-13,0.00000129960409655921000
1973-01-19,0.00000111043823661282000
1973-02-26,0.00000083664105123200300
1973-04-04,0.00000056839521745757400
1973-05-11,0.00000041786153140884600
1973-06-17,0.00000045322719078742800
1973-07-24,0.00000065070398933596200
1973-08-30,0.00000091174311815165100
1973-10-06,0.00000113483246810976000
1973-11-12,0.00000127506120362286000
1973-12-19,0.00000134732888291528000
1974-01-25,0.00000140227145470373000
1974-03-03,0.00000148669704523887000
1974-04-09,0.00000161029634770403000
1974-05-16,0.00000173028739420846000
1974-06-22,0.00000177421330206456000
1974-07-29,0.00000169571581849088000
1974-09-04,0.00000152500197960937000
1974-10-11,0.00000134548264154603000
1974-11-17,0.00000121054117900710000
1974-12-24,0.00000110740682025120000
1975-01-30,0.00000099781246807106400
1975-03-08,0.00000086201627099358000
1975-04-14,0.00000070836240785575700
1975-05-21,0.00000056972658251981000
1975-06-27,0.00000049341605879203500
1975-08-03,0.00000052054474480891700
1975-09-09,0.00000066959933630227400
1975-10-16,0.00000092426557922222800
1975-11-22,0.00000121718870004694000
1975-12-29,0.00000144546393249103000
1976-02-04,0.00000154220136397758000
1976-03-12,0.00000153219174562754000
1976-04-18,0.00000149776608828475000
1976-05-25,0.00000150627906072252000
1976-07-01,0.00000158698284856509000
1976-08-08,0.00000174183855407282000
1976-09-14,0.00000192948196473856000
1976-10-21,0.00000204969069449592000
1976-11-27,0.00000200490780160968000
1977-01-03,0.00000179896712038034000
1977-02-09,0.00000154265270661136000
1977-03-18,0.00000135638571161816000
1977-04-24,0.00000129259710534214000
1977-05-31,0.00000134065474360368000
1977-07-07,0.00000146352044129640000
1977-08-13,0.00000161029757481727000
1977-09-19,0.00000172686976249501000
1977-10-26,0.00000176484136097552000
1977-12-02,0.00000169445870881262000
1978-01-08,0.00000151911916245150000
1978-02-14,0.00000128033825896754000
1978-03-23,0.00000104041844527586000
1978-04-29,0.00000086253995987947500
1978-06-05,0.00000081193094925695000
1978-07-12,0.00000094400841297804000
1978-08-18,0.00000124455302249820000
1978-09-24,0.00000158720850620103000
1978-10-31,0.00000179966867645787000
1978-12-07,0.00000179860923991056000
1979-01-13,0.00000166208085803398000
1979-02-19,0.00000157622460568817000
1979-03-28,0.00000169116016743583000
1979-05-04,0.00000198167737233893000
1979-06-10,0.00000224479132378130000
1979-07-17,0.00000227461614140355000
1979-08-23,0.00000205143813536105000
1979-09-29,0.00000174546489685581000
1979-11-05,0.00000155260365350757000
1979-12-12,0.00000154366240829803000
1980-01-19,0.00000163453102455238000
1980-02-25,0.00000165975012215140000
1980-04-02,0.00000149917622058594000
1980-05-09,0.00000117958970050430000
1980-06-15,0.00000085041864428090000
1980-07-22,0.00000064997676470553500
1980-08-28,0.00000061966853051893700
1980-10-04,0.00000073072132154369900
1980-11-10,0.00000092306035089211400
1980-12-17,0.00000111312995391809000
1981-01-23,0.00000122960452609289000
1981-03-01,0.00000126816292670650000
1981-04-07,0.00000128684655215206000
1981-05-14,0.00000134198630285075000
1981-06-20,0.00000145250555593202000
1981-07-27,0.00000159277077379429000
1981-09-02,0.00000170601920588900000
1981-10-09,0.00000173803738447424000
1981-11-15,0.00000168094831906112000
1981-12-22,0.00000158332068923312000
1982-01-28,0.00000149911631532766000
1982-03-06,0.00000143808043615061000
1982-04-12,0.00000138369468124885000
1982-05-19,0.00000133170419773076000
1982-06-25,0.00000127994003262580000
1982-08-01,0.00000120416035901134000
1982-09-07,0.00000108810241637566000
1982-10-14,0.00000097524431034075800
1982-11-20,0.00000094626030033945600
1982-12-27,0.00000102377900056515000
1983-02-02,0.00000112989966895778000
1983-03-11,0.00000116624831332538000
1983-04-17,0.00000111505757071707000
1983-05-25,0.00000103842369140431000
1983-07-01,0.00000101314234739989000
1983-08-07,0.00000110966235004620000
1983-09-13,0.00000140219545358060000
1983-10-20,0.00000192370239761927000
1983-11-26,0.00000258436860333109000
1984-01-02,0.00000315518005191414000
1984-02-08,0.00000336326114810718000
1984-03-16,0.00000306782263135814000
1984-04-22,0.00000240900718715048000
1984-05-29,0.00000176450017422874000
1984-07-05,0.00000148875173974907000
1984-08-11,0.00000166467328893351000
1984-09-17,0.00000209583661511661000
1984-10-24,0.00000249883596001398000
1984-11-30,0.00000272935265505277000
1985-01-06,0.00000281142109809330000
1985-02-12,0.00000286504269920728000
