Week,All_Postcodes,EO2HO_Postcodes,iAll,iEO2HO
23,1.312722949,1.150442478,1,1
24,1.246781116,1.278625954,0.949767136,1.111421022
25,1.266443701,1.12601626,0.964745609,0.97876798
26,1.260770975,1.05,0.960424266,0.912692308
27,1.39673913,1.126353791,1.064001457,0.979061372
28,1.303854875,0.996389892,0.99324452,0.866092752
29,1.397212544,1.347639485,1.064362092,1.171409706
30,1.324796275,1.269565217,1.009197162,1.103545151
31,1.500648508,0.984,1.143157061,0.855323077
32,1.366161616,1.19047619,1.04070826,1.034798535
33,1.330477356,1.125,1.01352487,0.977884615
34,1.488855869,1.16080402,1.134173719,1.009006571
35,1.200738916,1.109004739,0.914693323,0.963981043
36,1.106893107,0.947183099,0.843203898,0.823320693
37,1.035950804,0.84591195,0.789161799,0.735292695
38,1.288172043,0.963210702,0.981297725,0.83725238
39,1.202180377,0.915194346,0.915791392,0.795515086
