x,y
1989-08-17,0.0000037300
1989-09-23,0.0000039400
1989-10-30,0.0000040900
1989-12-06,0.0000041700
1990-01-13,0.0000041900
1990-02-19,0.0000042000
1990-03-28,0.0000042100
1990-05-05,0.0000042200
1990-06-11,0.0000042000
1990-07-18,0.0000041300
1990-08-24,0.0000040300
1990-10-01,0.0000039700
1990-11-07,0.0000040100
1990-12-14,0.0000041900
1991-01-21,0.0000045100
1991-02-27,0.0000049200
1991-04-05,0.0000053000
1991-05-12,0.0000055600
1991-06-19,0.0000056600
1991-07-26,0.0000056600
1991-09-01,0.0000056700
1991-10-08,0.0000057900
1991-11-15,0.0000060200
1991-12-22,0.0000063200
1992-01-28,0.0000066000
1992-03-06,0.0000067900
1992-04-12,0.0000068200
1992-05-19,0.0000066600
1992-06-25,0.0000063400
1992-08-02,0.0000059200
1992-09-08,0.0000055000
1992-10-15,0.0000051800
1992-11-22,0.0000050400
1992-12-29,0.0000050800
1993-02-04,0.0000052400
1993-03-13,0.0000054400
1993-04-20,0.0000056700
1993-05-27,0.0000059300
1993-07-03,0.0000062200
1993-08-10,0.0000064600
1993-09-16,0.0000065800
1993-10-23,0.0000065900
1993-11-29,0.0000066100
1994-01-06,0.0000068000
1994-02-12,0.0000072100
1994-03-21,0.0000077300
1994-04-28,0.0000081600
1994-06-04,0.0000083300
1994-07-11,0.0000082700
1994-08-17,0.0000081500
1994-09-24,0.0000081300
1994-10-31,0.0000082500
1994-12-07,0.0000084200
1995-01-14,0.0000085000
1995-02-20,0.0000083400
1995-03-29,0.0000079300
1995-05-05,0.0000073400
1995-06-12,0.0000067800
1995-07-19,0.0000065100
1995-08-25,0.0000066500
1995-10-01,0.0000071400
1995-11-08,0.0000078100
1995-12-15,0.0000084600
1996-01-21,0.0000089700
1996-02-28,0.0000093000
1996-04-05,0.0000094800
1996-05-12,0.0000095800
1996-06-18,0.0000097200
1996-07-26,0.0000099800
1996-09-01,0.0000103000
1996-10-08,0.0000107000
1996-11-15,0.0000110000
1996-12-22,0.0000112000
1997-01-28,0.0000112000
1997-03-06,0.0000111000
1997-04-13,0.0000110000
1997-05-20,0.0000110000
1997-06-26,0.0000112000
1997-08-03,0.0000116000
1997-09-09,0.0000121000
1997-10-16,0.0000127000
1997-11-22,0.0000132000
1997-12-30,0.0000135000
1998-02-05,0.0000136000
1998-03-14,0.0000136000
1998-04-21,0.0000136000
1998-05-28,0.0000135000
1998-07-04,0.0000135000
1998-08-10,0.0000134000
1998-09-17,0.0000132000
1998-10-24,0.0000131000
1998-11-30,0.0000130000
1999-01-07,0.0000130000
1999-02-13,0.0000130000
1999-03-22,0.0000130000
1999-04-28,0.0000132000
1999-06-05,0.0000135000
1999-07-12,0.0000138000
1999-08-18,0.0000143000
1999-09-24,0.0000148000
1999-11-01,0.0000157000
1999-12-08,0.0000169000
2000-01-14,0.0000184000
2000-02-21,0.0000198000
2000-03-29,0.0000204000
2000-05-05,0.0000201000
2000-06-11,0.0000191000
2000-07-19,0.0000178000
2000-08-25,0.0000167000
2000-10-01,0.0000160000
2000-11-08,0.0000159000
2000-12-15,0.0000162000
2001-01-21,0.0000168000
2001-02-27,0.0000173000
2001-04-06,0.0000176000
2001-05-13,0.0000176000
2001-06-19,0.0000175000
2001-07-27,0.0000174000
2001-09-02,0.0000177000
2001-10-09,0.0000186000
2001-11-15,0.0000202000
2001-12-23,0.0000223000
2002-01-29,0.0000245000
2002-03-07,0.0000266000
2002-04-14,0.0000283000
2002-05-21,0.0000299000
2002-06-27,0.0000313000
2002-08-03,0.0000328000
2002-09-10,0.0000345000
2002-10-17,0.0000366000
2002-11-23,0.0000394000
2002-12-31,0.0000427000
2003-02-06,0.0000459000
2003-03-15,0.0000484000
2003-04-21,0.0000497000
2003-05-29,0.0000497000
2003-07-05,0.0000488000
2003-08-11,0.0000475000
2003-09-17,0.0000455000
2003-10-25,0.0000429000
2003-12-01,0.0000396000
2004-01-07,0.0000362000
2004-02-14,0.0000330000
2004-03-22,0.0000303000
2004-04-28,0.0000281000
2004-06-04,0.0000266000
2004-07-12,0.0000259000
2004-08-18,0.0000262000
2004-09-24,0.0000274000
2004-11-01,0.0000293000
2004-12-08,0.0000314000
2005-01-14,0.0000335000
2005-02-20,0.0000352000
2005-03-30,0.0000362000
2005-05-06,0.0000364000
2005-06-12,0.0000359000
2005-07-20,0.0000349000
2005-08-26,0.0000339000
2005-10-02,0.0000332000
2005-11-08,0.0000331000
2005-12-16,0.0000336000
2006-01-22,0.0000346000
2006-02-28,0.0000357000
2006-04-07,0.0000365000
2006-05-14,0.0000366000
2006-06-20,0.0000361000
2006-07-27,0.0000357000
2006-09-03,0.0000359000
2006-10-10,0.0000371000
2006-11-16,0.0000391000
2006-12-24,0.0000413000
2007-01-30,0.0000430000
2007-03-08,0.0000436000
2007-04-14,0.0000429000
2007-05-22,0.0000413000
2007-06-28,0.0000397000
2007-08-04,0.0000388000
2007-09-10,0.0000390000
2007-10-18,0.0000403000
2007-11-24,0.0000422000
2007-12-31,0.0000438000
2008-02-07,0.0000445000
2008-03-15,0.0000437000
2008-04-21,0.0000415000
2008-05-28,0.0000383000
2008-07-05,0.0000351000
2008-08-11,0.0000329000
2008-09-17,0.0000323000
2008-10-25,0.0000336000
2008-12-01,0.0000365000
2009-01-07,0.0000405000
2009-02-13,0.0000444000
2009-03-23,0.0000474000
2009-04-29,0.0000489000
2009-06-05,0.0000491000
2009-07-13,0.0000486000
2009-08-19,0.0000483000
2009-09-25,0.0000487000
2009-11-01,0.0000498000
2009-12-09,0.0000513000
2010-01-15,0.0000528000
2010-02-21,0.0000542000
2010-03-31,0.0000555000
2010-05-07,0.0000567000
2010-06-13,0.0000579000
2010-07-20,0.0000588000
2010-08-27,0.0000597000
2010-10-03,0.0000609000
2010-11-09,0.0000630000
2010-12-17,0.0000664000
2011-01-23,0.0000707000
2011-03-01,0.0000749000
2011-04-07,0.0000781000
2011-05-15,0.0000800000
2011-06-21,0.0000810000
2011-07-28,0.0000816000
2011-09-03,0.0000824000
2011-10-11,0.0000836000
2011-11-17,0.0000856000
2011-12-24,0.0000885000
2012-01-31,0.0000918000
2012-03-08,0.0000945000
2012-04-14,0.0000955000
2012-05-21,0.0000943000
2012-06-28,0.0000917000
2012-08-04,0.0000892000
2012-09-10,0.0000882000
2012-10-18,0.0000893000
2012-11-24,0.0000925000
2012-12-31,0.0000972000
2013-02-06,0.0001024510
2013-03-16,0.0001073210
2013-04-22,0.0001112750
2013-05-29,0.0001143500
2013-07-06,0.0001169050
2013-08-12,0.0001193340
2013-09-18,0.0001220110
2013-10-25,0.0001253300
2013-12-02,0.0001294970
2014-01-08,0.0001341180
2014-02-14,0.0001381130
2014-03-24,0.0001403430
2014-04-30,0.0001405240
2014-06-06,0.0001395590
2014-07-13,0.0001389150
2014-08-20,0.0001396370
2014-09-26,0.0001419170
2014-11-02,0.0001454420
2014-12-10,0.0001499400
2015-01-16,0.0001552440
2015-02-22,0.0001609670
2015-03-31,0.0001663800
2015-05-08,0.0001707800
2015-06-14,0.0001738470
2015-07-21,0.0001757600
2015-08-27,0.0001769230
2015-10-04,0.0001780560
2015-11-10,0.0001802010
2015-12-17,0.0001841990
2016-01-24,0.0001899760
2016-03-01,0.0001964570
2016-04-07,0.0002024180
2016-05-14,0.0002074370
2016-06-21,0.0002120120
2016-07-28,0.0002168560
2016-09-03,0.0002223040
2016-10-11,0.0002284110
2016-11-17,0.0002352930
2016-12-24,0.0002429750
2017-01-30,0.0002508760
2017-03-09,0.0002577910
2017-04-15,0.0002627570
2017-05-22,0.0002660420
2017-06-29,0.0002691930
2017-08-05,0.0002740640
2017-09-11,0.0002818520
2017-10-18,0.0002929150
2017-11-25,0.0003070560
2018-01-01,0.0003234380
2018-02-07,0.0003401780
2018-03-17,0.0003546850
2018-04-23,0.0003650820
2018-05-30,0.0003722140
2018-07-06,0.0003788860
2018-08-13,0.0003882030
2018-09-19,0.0004022060
2018-10-26,0.0004213380
2018-12-03,0.0004442200
2019-01-09,0.0004676180
2019-02-15,0.0004873140
2019-03-24,0.0005000460
2019-05-01,0.0005051320
2019-06-07,0.0005042140
2019-07-14,0.0004993850
2019-08-20,0.0004914920
2019-09-27,0.0004798640
2019-11-03,0.0004630850
2019-12-10,0.0004398600
2020-01-17,0.0004097100
2020-02-23,0.0003735440
2020-03-31,0.0003335680
2020-05-07,0.0002920200
2020-06-14,0.0002496210
2020-07-21,0.0002056110
2020-08-27,0.0001597790
2020-10-04,0.0001143990
2020-11-10,0.0000739000
2020-12-17,0.0000423000
2021-01-23,0.0000212000
2021-03-02,0.0000093900
2021-04-08,0.0000036500
2021-05-15,0.0000012400
2021-06-22,0.0000003650
