Name,week,All_Postcodes,EO2HO_Postcodes
South West,39,1.35966736,0.980769231
Wales,23,1.316129032,1
Wales,24,1.030470914,0.774193548
Wales,25,1.336448598,1.264705882
Wales,26,1.023952096,1.318181818
Wales,27,1.306358382,1.24137931
Wales,28,1.161812298,0.888888889
Wales,29,1.294915254,0.657142857
Wales,30,1.261168385,0.866666667
Wales,31,1.308196721,1
Wales,32,0.952908587,0.966666667
Wales,33,1.265993266,0.733333333
Wales,34,1.368217054,0.9
Wales,35,1.042553191,0.894736842
Wales,36,1.302721088,1.571428571
Wales,37,1.147147147,1.035714286
Wales,38,1.100334448,1.230769231
Wales,39,1.36013986,2.117647059
Scotland,23,1.324577861,1.14893617
Scotland,24,1.237024221,1.215686275
Scotland,25,1.34351145,0.8
Scotland,26,1.041071429,1.095238095
Scotland,27,1.55165692,1.219512195
Scotland,28,1.184115523,1.84375
Scotland,29,1.390334572,0.919354839
Scotland,30,1.631355932,1
Scotland,31,1.091973244,0.628571429
Scotland,32,1.198501873,1.340909091
Scotland,33,1.264220183,1.285714286
Scotland,34,1.780269058,0.88
Scotland,35,0.877061469,0.714285714
Scotland,36,1.396709324,1.037037037
Scotland,37,1.428294574,1.479166667
Scotland,38,1.238421955,1.041666667
Scotland,39,1.102236422,1.017857143
Northern Ireland,23,1.253164557,2
Northern Ireland,24,1.161764706,0.588235294
Northern Ireland,25,1.13253012,2.285714286
Northern Ireland,26,1.639344262,1.25
Northern Ireland,27,1.309859155,2.1
Northern Ireland,28,1.904761905,2.5
Northern Ireland,29,0.802083333,1.083333333
Northern Ireland,30,1.260869565,1.2
Northern Ireland,31,1.119047619,1.8
Northern Ireland,32,0.772727273,1.333333333
Northern Ireland,33,1.253731343,1.428571429
Northern Ireland,34,1.68852459,1.833333333
Northern Ireland,35,0.793814433,1.2
Northern Ireland,36,1.276595745,0.823529412
Northern Ireland,37,1.222222222,0.928571429
Northern Ireland,38,0.933333333,0.764705882
Northern Ireland,39,1.105263158,1.1
